color,x,y
green,859,1958
green,842,1956
green,849,1919
green,849,1893
green,472,1793
green,230,1702
green,245,1700
green,472,1276
green,48,1219
green,50,1210
green,59,1199
green,54,1201
green,284,1096
green,588,1066
green,354,993
green,538,960
green,351,938
green,511,787
green,49,787
green,380,787
green,43,714
green,829,247
green,808,177
green,807,161
green,878,166
green,136,166
green,66,166
orange,312,1040
orange,426,1039
orange,564,1005
orange,373,984
orange,424,965
orange,338,913
orange,476,914
orange,480,822
orange,480,814
orange,587,792
orange,578,788
orange,587,784
orange,500,788
orange,400,788
orange,370,788
blue,47,1227
blue,58,1213
blue,53,1213
blue,53,1210
blue,489,872
blue,49,802
blue,48,1009
blue,52,797
blue,55,788
blue,42,733
